Accession,SRA_Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
KM055545,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 8339_2009 spike glycoprotein (S) gene, complete cds"
KM055546,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 8373_2009 spike glycoprotein (S) gene, complete cds"
KM055547,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 8425_2009 spike glycoprotein (S) gene, complete cds"
KM055548,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2011,,"Human coronavirus 229E isolate 2861A_2011 spike glycoprotein (S) gene, complete cds"
KM055549,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2011,,"Human coronavirus 229E isolate 2961A_2011 spike glycoprotein (S) gene, complete cds"
KM055550,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3516,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2011,,"Human coronavirus 229E isolate 2981A_2011 spike glycoprotein (S) gene, complete cds"
KM055551,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3513,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2007,,"Human coronavirus 229E isolate 359A_2007 spike glycoprotein (S) gene, complete cds"
KM055552,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3513,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2007,,"Human coronavirus 229E isolate 423A_2007 spike glycoprotein (S) gene, complete cds"
KM055553,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3513,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2009,,"Human coronavirus 229E isolate 1482A_2009 spike glycoprotein (S) gene, complete cds"
KM055554,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3513,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2008,,"Human coronavirus 229E isolate 494A_2008 spike glycoprotein (S) gene, complete cds"
KM055555,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3513,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2008,,"Human coronavirus 229E isolate 507A_2008 spike glycoprotein (S) gene, complete cds"
KM055556,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3513,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2008,,"Human coronavirus 229E isolate 693A_2008 spike glycoprotein (S) gene, complete cds"
KM055557,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3513,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2005,,"Human coronavirus 229E isolate 748_2005 spike glycoprotein (S) gene, complete cds"
KM055558,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3513,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 8348_2009 spike glycoprotein (S) gene, complete cds"
KM055559,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3513,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2005,,"Human coronavirus 229E isolate 857_2005 spike glycoprotein (S) gene, complete cds"
KM055560,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,3513,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,,2009,,"Human coronavirus 229E isolate 1424A_2009 spike glycoprotein (S) gene, complete cds"
KM055561,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1424A_2009 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055562,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1482A_2009 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055563,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1512A_2009 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055564,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1518A_2009 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055565,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1546A_2009 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055566,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1649A_2009 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055567,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1658A_2009 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055568,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2009,,"Human coronavirus 229E isolate 1667A_2009 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055569,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1761A_2010 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055570,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1781A_2010 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055571,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1782A_2010 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055572,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1827A_2010 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055573,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1829A_2010 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055574,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2010,,"Human coronavirus 229E isolate 1990A_2010 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055575,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2011,,"Human coronavirus 229E isolate 2764A_2011 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055576,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2011,,"Human coronavirus 229E isolate 2861A_2011 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055577,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2011,,"Human coronavirus 229E isolate 2961A_2011 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055578,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2011,,"Human coronavirus 229E isolate 2981A_2011 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055579,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2007,,"Human coronavirus 229E isolate 359A_2007 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055580,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2007,,"Human coronavirus 229E isolate 423A_2007 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
KM055581,,2018-08-31T00:00:00Z,Human coronavirus 229E,Alphacoronavirus,Coronaviridae,2780,GenBank,partial,,,"Zhang,Y., Ren,L., Wang,J.",,China,Homo sapiens,oronasopharynx,2008,,"Human coronavirus 229E isolate 494A_2008 RNA-dependent RNA polymerase (RdRp) gene, partial cds"
